Fecha;Hora del llamado;Hora de primera respuesta;Tipo de emergencias;Dirección;1cia;2cia;3cia;4cia;Situación;Hora de término de la emergencia;Tiempo respuesta;Tiempo en controlar emergencia;LATITUDE;LONGITUDE;Detalle unidades
2021-03-07 00:00:00;10:08:00;10:17:00;10.2.1;San Antonio de las bodegas, pasado feria mayorista San Antonio, Chile;0;1;0;0;Quema de pastizal y basura;10:50:00;9;33;-33,5717114;-71,6040106;
2021-03-07 00:00:00;23:36:00;23:41:00;10.2.1;Entrada fundo de Llolleo San Antonio, Chile;0;0;1;0;Quema de basura, 5 metros cuadrados aprox;23:54:00;5;13;-33,6124606;-71,6102786;
2021-03-08 00:00:00;10:33:00;10:48:00;10.4.1;Avenida San Juan, pasado la granja San Antonio, Chile;1;0;1;0;Colision de vehiculo particular contra motocicleta;10:56:00;15;8;-33,5922807;-71,6055123;
2021-03-09 00:00:00;02:06:00;02:13:00;10.8;Avenida Chile con Jose Miguel Carrera San Antonio, Chile;0;0;1;0;Colision de vehiculos menores;02:35:00;7;22;-33,6104563;-71,6088204;
2021-03-09 00:00:00;02:24:00;02:38:00;10.2.1;Camino antiguo a Santiago San Antonio, Chile;1;0;0;0;3 focos  de fuego;03:39:00;14;61;-33,5624352;-71,5954954;
2021-03-09 00:00:00;15:31:00;15:44:00;10.2.1;Vertedero San Antonio, Chile;1;0;0;1;Quema de pastizal y matorrales;16:52:00;13;68;-33,561435;-71,5820291;
2021-03-10 00:00:00;21:21:00;21:35:00;10.2.1;Pelancura s/n San Antonio, Chile;0;1;0;0;Quema de pastizal y basura;21:45:00;14;10;-33,5715707;-71,6222427;
2021-03-11 00:00:00;18:56:00;19:03:00;10.5;Las palmeras con orella San Antonio, Chile;0;0;1;0;Derrame de combustible en via publica por colision de vehiculo menor;19:09:00;7;6;-33,5922807;-71,6055123;
2021-03-11 00:00:00;22:13:00;22:17:00;10.4.1;Los alamos con Olegario Henriquez San Antonio, Chile;0;0;1;0;Colision de dos vehiculos menores;22:48:00;4;31;-33,6047609;-71,61429;
2021-03-13 00:00:00;18:22:00;18:33:00;10.2.1;Tomas las loicas, Bellavista San Antonio, Chile;0;1;0;0;Quema de pastizal y basura;18:47:00;11;14;-33,5634163;-71,6060882;
2021-03-13 00:00:00;22:50:00;22:58:00;10.4.1;Avenida San Juan San Antonio, Chile;1;0;1;0;Colision de dos vehiculos menores;00:50:00;8;112;-33,629245;-71,5995664;
2021-03-14 00:00:00;14:16:00;14:21:00;10.6.1;Tacna 485, casa 4 con pudeto San Antonio, Chile;0;0;1;0;Liberacion de GLP desde cilindro de 11 kilos;15:00:00;5;39;-33,5955135;-71,6077419;
2021-03-16 00:00:00;10:57:00;11:06:00;10.5;Coquimbo N. 475 San Antonio, Chile;0;0;1;0;Pequeña liberacion de mercurio;11:42:00;9;36;-33,5997678;-71,6085249;
2021-03-16 00:00:00;14:36:00;14:45:00;10.4.1;Manuel Bulnes con Julio Nuñez s/n San Antonio, Chile;1;1;0;0;Volcamiento de vehiculo menor;14:52:00;9;7;-33,5609941;-71,6064984;
2021-03-16 00:00:00;18:09:00;18:17:00;10.2.1;Camino antiguo a Santiago San Antonio, Chile;0;1;0;0;Quema de pasto y basura, 50 metros cuadrados aprox;18:32:00;8;15;-33,5624352;-71,5954954;
2021-03-16 00:00:00;23:01:00;23:11:00;10.1;camino acceso al puerto, altura de Seaport San Antonio, Chile;1;0;1;0;Incendio de maquina porta-contenedor;23:32:00;10;21;-33,5939562;-71,6134751;
2021-03-17 00:00:00;15:29:00;15:32:00;10.4.1;Antofagasta con Pudeto s/n San Antonio, Chile;1;1;0;0;Colision de dos vehiculos menores;13:34:00;3;1322;-33,5966357;-71,6098645;
2021-03-17 00:00:00;22:52:00;23:07:00;10.0;Camino antiguo a Santiago San Antonio, Chile;1;1;0;0;Amago de incendio;23:21:00;15;14;-33,5624352;-71,5954954;
2021-03-18 00:00:00;11:58:00;12:05:00;10.2.1;Aromos con Jose Maria Caro s/n San Antonio, Chile;0;0;1;0;Quema de pequeña extension de basura;12:20:00;7;15;-33,5922807;-71,6055123;
2021-03-18 00:00:00;13:53:00;13:57:00;10.0;Santa Rosa con las dunas, cerro arena San Antonio, Chile;0;1;0;0;Incendio compartimental con inflamacion de cocina;14:38:00;4;41;-33,5842888;-71,6097779;
2021-03-18 00:00:00;15:31:00;15:38:00;10.2.1;subida a Cerro la virgen San Antonio, Chile;0;1;0;0;Incendio en contenedor de basura;15:59:00;7;21;-33,0553452;-71,603984;
2021-03-19 00:00:00;06:00:00;06:15:00;10.0;Las torcazas N. 556, viuda 9 San Antonio, Chile;0;0;0;1;Incendio estructural, libre combustion;07:44:00;15;89;-33,6129595;-71,6024937;
2021-03-19 00:00:00;15:50:00;15:57:00;10.0;Olegario Henriquez con Domingo Garcia San Antonio, Chile;1;0;1;0;Fuego compartimental en casa habitacion;16:36:00;7;39;-33,6047609;-71,61429;
2021-03-19 00:00:00;19:22:00;19:29:00;10.8;Condominio Cumbres de miramar San Antonio, Chile;0;1;0;0;Propietario queda afuera de su departamento;19:43:00;7;14;-33,5867677;-71,5967149;
2021-03-21 00:00:00;01:32:00;01:40:00;10.4.1;Puente Arevalo s/n San Antonio, Chile;0;1;0;0;Desbarrancamiento de vehiculo menor;01:55:00;8;15;-33,5922807;-71,6055123;
2021-03-22 00:00:00;10:45:00;10:51:00;10.2.1;Final de ginebra s/n San Antonio, Chile;0;0;1;0;Quema de pastizal y basura, 50 metros aprox;11:10:00;6;19;-33,5922807;-71,6055123;
2021-03-22 00:00:00;16:18:00;16:32:00;10.0;Leyda,  galpones de Ariztia San Antonio, Chile;0;1;1;1;Fuego en galpon de aves;18:49:00;14;137;-33,6107724;-71,4572075;
2021-03-22 00:00:00;18:08:00;18:52:00;10.2.2;El convento, parcela N. 26 Santo Domingo San Antonio, Chile;0;0;0;1;Quema de material combustible, pastizal y matorrales;21:51:00;44;179;-33,776986;-71,5966961;
2021-03-23 00:00:00;13:24:00;13:30:00;10.4.1;Tacna con Republica s/n San Antonio, Chile;1;1;0;0;Colision de dos vehiculos menores;13:38:00;6;8;-18,0065679;-70,2462741;
2021-03-23 00:00:00;14:09:00;14:28:00;10.5;Pasaje Ana Aranda Gonzalez N. 440 Bellavista San Antonio, Chile;0;0;1;0;dos botellas con minimas proporciones de plomo diluidas en agua;15:06:00;19;38;-33,5661239;-71,6067214;
2021-03-24 00:00:00;18:21:00;18:30:00;10.4.1;Cruce Cartagena San Antonio, Chile;1;1;0;0;Colision de dos vehiculos menores;18:50:00;9;20;-33,4974365;-71,6230042;
2021-03-25 00:00:00;13:05:00;13:10:00;10.4.1;Antiguo acceso al puerto San Antonio, Chile;1;0;0;0;Colision de vehiculo menor contra motocicleta;13:25:00;5;15;-33,5939562;-71,6134751;
2021-03-26 00:00:00;15:03:00;15:24:00;10.2.2;Cruce Malvilla San Antonio, Chile;0;1;0;1;Quema de material combustible, pastizal y matorrales, 5 hectareas aprox;17:45:00;21;141;-33,5872783;-71,5275814;
2021-03-26 00:00:00;16:41:00;16:49:00;10.5;Isla picton N. 874 con palermo San Antonio, Chile;0;0;1;0;Rotura de termometro;17:16:00;8;27;-33,588055;-71,6022362;
2021-03-29 00:00:00;15:04:00;15:12:00;10.0;Lumaco N. 1517 colinas del mar San Antonio, Chile;1;1;0;0;Incendio compartimental de casa habitacion;15:50:00;8;38;-33,5986752;-71,5983215;
2021-03-29 00:00:00;18:46:00;18:58:00;10.2.1;Tomas fundo miramar San Antonio, Chile;0;1;0;0;Quema de basura;19:24:00;12;26;-33,6176791;-71,594322;
2021-03-29 00:00:00;23:08:00;23:15:00;10.4.1;Antofagasta con Independencia s/n San Antonio, Chile;1;1;0;0;Colision de vehiculo menor contra motocicleta;23:25:00;7;10;-33,6129832;-71,608557;
2021-03-30 00:00:00;20:01:00;20:05:00;10.2.1;sitio atrás de tienda Corona, San Antonio San Antonio, Chile;0;1;0;0;Quema en propiedad privada, se dan recomendaciones;20:19:00;4;14;-33,5797092;-71,6087398;
2021-03-31 00:00:00;15:56:00;16:07:00;10.5;Calle victoria, San Juan San Antonio, Chile;0;0;1;0;Rotura de termometro;16:28:00;11;21;18,4655394;-66,1057355;
2021-03-31 00:00:00;16:39:00;16:44:00;10.4.1;Avenida Chile con Del canelo San Antonio, Chile;1;0;1;0;Colision de vehiculo particular;16:49:00;5;5;-33,6115734;-71,608695;
2021-03-31 00:00:00;19:40:00;19:47:00;10.2.1;Serrano con Manuel Bulnes San Antonio, Chile;1;1;0;0;Quema de pasto en patio de casa;19:51:00;7;4;-33,5922807;-71,6055123;
2021-05-01 00:00:00;11:27:00;11:29:00;10.8;Centenario N. 102 San Antonio, Chile;0;1;0;0;Activacion de dispositivo de seguridad anto robo, se descarta fuente calorica;12:31:00;2;62;-33,5806616;-71,6117029;
2021-05-02 00:00:00;18:58:00;19:02:00;10.4.1;Plaza de San Antonio San Antonio, Chile;1;1;0;0;Colision de motorista con vehiculo particular;19:17:00;4;15;-33,58086;-71,6131669;
2021-05-02 00:00:00;19:34:00;19:41:00;10.0;Calle atardecer N. 548, Bellavista San Antonio, Chile;1;1;0;0;Recalentamiento de olla sobre cocina encendida;20:43:00;7;62;29,4241219;-98,4936282;
2021-05-03 00:00:00;21:21:00;21:29:00;10.7;Luis Hinojosa N. 1427, con Ignacio Carrera Pinto San Antonio, Chile;1;0;0;0;Fuego en poste que conecta con casa habitacio;21:57:00;8;28;-33,5914511;-71,6108725;
2021-05-04 00:00:00;13:05:00;13:24:00;10.2.1;Condomini Viñas de Santo Domingo San Antonio, Chile;0;0;0;1;Quema de pastizal, 100 metros cuadrados aprox;13:48:00;19;24;-33,6214427;-71,471125;
2021-05-04 00:00:00;18:43:00;18:55:00;10.4.3;Nuevo acceso a Barros Luco San Antonio, Chile;1;0;1;0;Colision de dos camiones;19:29:00;12;34;-33,593381;-71,613506;
2021-05-05 00:00:00;17:39:00;17:45:00;10.6.1;Jacson N. 1713 con los laureles San Antonio, Chile;0;0;1;0;Liberacion de GLP desde cilindro de 5 kilos;18:09:00;6;24;-33,5922807;-71,6055123;
2021-05-05 00:00:00;23:14:00;23:25:00;10.2.1;Parque DYR San Antonio, Chile;0;0;1;0;Quema de pastizal y basura;23:42:00;11;17;-33,6102359;-71,6209833;
2021-05-06 00:00:00;11:17:00;11:23:00;10.4.1;Avenida Barros Luco San Antonio, Chile;1;0;1;0;Colision de dos vehiculos menores;11:35:00;6;12;-33,5955936;-71,613309;
2021-05-06 00:00:00;11:48:00;11:55:00;10.4.2;San Antonio de las bodegas San Antonio, Chile;1;0;1;0;Colision de dos taxi colectivos;12:23:00;7;28;-33,5717114;-71,6040106;
2021-05-06 00:00:00;17:05:00;17:30:00;10.4.3;Paso sepultura, autopista del sol San Antonio, Chile;1;0;1;0;Colision de dos camiones;17:41:00;25;11;-33,6331555;-71,3874973;
2021-05-06 00:00:00;19:09:00;19:19:00;10.6.2;San Antonio de las bodegas San Antonio, Chile;0;1;1;0;Liberacion de GLP desde cilindro de 45 kilos;20:08:00;10;49;-33,5717114;-71,6040106;
2021-05-07 00:00:00;07:33:00;07:43:00;10.2.1;San Antonio de las bodegas San Antonio, Chile;0;1;0;0;Quema de basura y material combustible, 50 metros cuadrados aprox;07:58:00;10;15;-33,5717114;-71,6040106;
2021-05-08 00:00:00;13:09:00;13:13:00;10.2.1;Palmieri N. 485 San Antonio, Chile;1;1;0;0;Quema de pasto y basura;13:18:00;4;5;-33,5922807;-71,6055123;
2021-05-08 00:00:00;22:37:00;22:42:00;10.7;Maule con Manuel Montt San Antonio, Chile;1;0;0;0;Fuego en foco de poste de alumbrado publico;22:54:00;5;12;-35,5971171;-71,7244042;
2021-05-11 00:00:00;13:59:00;14:01:00;10.4.1;Samuel Garcia con Domingo Fernandez Concha San Antonio, Chile;1;1;0;0;Colision de dos vehiculos menores;14:38:00;2;37;-33,5904114;-71,6077405;
